or,de,Time
674+Dundas+St.+W+Toronto,CASTLE+FRANK+STATION,3641
616+Vaughan+Road+Toronto+Toronto,CASTLE+FRANK+STATION,5274
20+Gerrard+Street+East+Toronto,CASTLE+FRANK+STATION,1907
2714+Danforth+Avenue+Toronto,CASTLE+FRANK+STATION,4363
349+George+Street+Toronto,CASTLE+FRANK+STATION,1545
60+Brant+Street+Toronto,CASTLE+FRANK+STATION,3928
360+Lesmill+Road+North+York,CASTLE+FRANK+STATION,9129
25+Canterbury+Place+North+York,CASTLE+FRANK+STATION,9606
"490+Sherbourne+Street,+2nd+floor+Toronto",CASTLE+FRANK+STATION,830
512+Jarvis+St.+Toronto,CASTLE+FRANK+STATION,988
86+Lombard+St.+Toronto,CASTLE+FRANK+STATION,2383
1161+Caledonia+Road+Toronto,CASTLE+FRANK+STATION,8474
412+Queen+Street+East+Toronto,CASTLE+FRANK+STATION,1883
702+Kennedy+Rd+Toronto,CASTLE+FRANK+STATION,8722
1322+Bloor+Street+West+Toronto,CASTLE+FRANK+STATION,4818
3576+St.+Clair+Avenue+East+Scarborough,CASTLE+FRANK+STATION,8008
805A+Wellington+Street+W+Toronto,CASTLE+FRANK+STATION,5016
422+Gilbert+Avenue+Toronto,CASTLE+FRANK+STATION,7180
1076+Pape+Avenue+Toronto,CASTLE+FRANK+STATION,2106
14+Vaughan+Road+Toronto,CASTLE+FRANK+STATION,3640
558+Bathurst+Street+Toronto,CASTLE+FRANK+STATION,3306
126+Pape+Avenue+Toronto,CASTLE+FRANK+STATION,2877
60+Newcastle+Street+Toronto,CASTLE+FRANK+STATION,10693
70+Gerrard+St.+E.+Toronto,CASTLE+FRANK+STATION,1700
3410+Bayview+Avenue+Toronto,CASTLE+FRANK+STATION,11135
525+Bloor+Street+East+Toronto,CASTLE+FRANK+STATION,465
87+Pembroke+St+Toronto,CASTLE+FRANK+STATION,1616
101+Ontario+Street+Toronto,CASTLE+FRANK+STATION,1969
2808+Dundas+St+W+Toronto,CASTLE+FRANK+STATION,6218
723+Queen+Street+West+Toronto,CASTLE+FRANK+STATION,4273
107+Jarvis+Street+Toronto,CASTLE+FRANK+STATION,2309
Sherbourne+Street+Toronto,CASTLE+FRANK+STATION,1398
29+Leslie+Street+Toronto,CASTLE+FRANK+STATION,3549
2671+Islington+Avenue+Toronto,CASTLE+FRANK+STATION,15339
502+Spadina+Ave.+Toronto,CASTLE+FRANK+STATION,2917
191+Spadina+Road+Toronto,CASTLE+FRANK+STATION,2747
95+Wellesley+St.+E.+Toronto,CASTLE+FRANK+STATION,1187
23+Grange+Road+Toronto,CASTLE+FRANK+STATION,3076
875+Queen+St+E+Toronto,CASTLE+FRANK+STATION,2696
7+Vanauley+Street+Toronto,CASTLE+FRANK+STATION,3774
21+Walmer+Rd.+Toronto,CASTLE+FRANK+STATION,2546
80+Woodlawn+Ave.+East+Toronto,CASTLE+FRANK+STATION,2256
6+Warrendale+Court+Etobicoke,CASTLE+FRANK+STATION,16385
348+Davenport+Rd.+Toronto,CASTLE+FRANK+STATION,2276
167+College+Street+Toronto,CASTLE+FRANK+STATION,2460
702+Kennedy+Road+Scarborough,CASTLE+FRANK+STATION,8722
265+Queens+Drive+Toronto,CASTLE+FRANK+STATION,10723
248+Dufferin+Street+Toronto,CASTLE+FRANK+STATION,6012
177+Caledonia+Rd+Toronto,CASTLE+FRANK+STATION,6273
747+Warden+Ave+Toronto,CASTLE+FRANK+STATION,7189
100+Lippincott+Street+Toronto,CHESTER+STATION,522434
973+Lansdowne+Avenue+Toronto,CHESTER+STATION,521314
43+Christie+Street+Toronto,CHESTER+STATION,522295
1229+Ellesmere+Road+Toronto,CHESTER+STATION,537472
1651+Sheppard+Ave+West+Toronto,CHESTER+STATION,527528
4222+Kingston+Road+Toronto,CHESTER+STATION,538144
38+Bathrust+St+Toronto,CHESTER+STATION,521900
291+Sherbourne+Street+Toronto,CHESTER+STATION,524377
3306+Kingston+Road+Toronto,CHESTER+STATION,535349
339+George+Street+Toronto,CHESTER+STATION,524235
129+Peter+St+Toronto,CHESTER+STATION,522430
674+Dundas+St.+W+Toronto,CHESTER+STATION,522213
616+Vaughan+Road+Toronto+Toronto,CHESTER+STATION,524159
20+Gerrard+Street+East+Toronto,CHESTER+STATION,523853
2714+Danforth+Avenue+Toronto,CHESTER+STATION,529750
349+George+Street+Toronto,CHESTER+STATION,524282
60+Brant+Street+Toronto,CHESTER+STATION,522132
360+Lesmill+Road+North+York,CHESTER+STATION,533819
25+Canterbury+Place+North+York,CHESTER+STATION,532696
"490+Sherbourne+Street,+2nd+floor+Toronto",CHESTER+STATION,524766
